,xray_class,T_REC,NOAA_AR,USFLUX,MEANGAM,MEANGBT,MEANJZD,MEANJZH,ABSNJZH,R_VALUE
0,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
1,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
2,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
3,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
4,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
5,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
6,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
7,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
8,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
9,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
10,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
11,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
12,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
13,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
14,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
15,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
16,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
17,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
18,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
19,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
20,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
21,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
22,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
23,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
24,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
25,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
26,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
27,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
28,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
29,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
30,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
31,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
32,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
33,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
34,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
35,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
36,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
37,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
38,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
39,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
40,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
41,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
42,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
43,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
44,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
45,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
46,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
47,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
48,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
49,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
50,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
51,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
52,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
53,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
54,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
55,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
56,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
57,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
58,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
59,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
60,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
61,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
62,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
63,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
64,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
65,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
66,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
67,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
68,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
69,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
70,B,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
